Daily,pandemic: (United States)
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,88
2019-08-17,100
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,87
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,83
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-07,0
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,79
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,84
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,3
2020-01-25,4
2020-01-26,0
2020-01-27,6
2020-01-28,6
2020-01-29,3
2020-01-30,3
2020-01-31,3
2020-02-01,0
2020-02-02,0
2020-02-03,9
2020-02-04,3
2020-02-05,3
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,4
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,3
2020-02-15,4
2020-02-16,4
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,7
2020-02-23,4
2020-02-24,12
2020-02-25,12
2020-02-26,41
2020-02-27,27
2020-02-28,37
2020-02-29,10
2020-03-01,14
2020-03-02,18
2020-03-03,9
2020-03-04,15
2020-03-05,12
2020-03-06,3
2020-03-07,7
2020-03-08,10
2020-03-09,18
2020-03-10,9
2020-03-11,100
2020-03-12,94
2020-03-13,74
2020-03-14,46
2020-03-15,45
2020-03-16,59
2020-03-17,70
2020-03-18,44
2020-03-19,59
2020-03-20,58
2020-03-21,56
2020-03-22,50
2020-03-23,58
2020-03-24,66
2020-03-25,49
2020-03-26,54
2020-03-27,61
2020-03-28,49
2020-03-29,39
2020-03-30,47
2020-03-31,66
2020-04-01,81
2020-04-02,42
2020-04-03,45
2020-04-04,51
2020-04-05,49
2020-04-06,39
2020-04-07,54
2020-04-08,70
2020-04-09,68
2020-04-10,87
2020-04-11,42
2020-04-12,59
2020-04-13,50
2020-04-14,47
2020-04-15,71
2020-04-16,54
2020-04-17,46
2020-04-18,43
2020-04-19,38
2020-04-20,56
2020-04-21,52
2020-04-22,38
2020-04-23,56
2020-04-24,58
2020-04-25,53
2020-04-26,25
2020-04-27,52
2020-04-28,53
2020-04-29,63
2020-04-30,61
2020-05-01,36
2020-05-02,16
2020-05-03,33
2020-05-04,33
2020-05-05,36
2020-05-06,55
2020-05-07,45
2020-05-08,52
2020-05-09,28
2020-05-10,39
2020-05-11,28
2020-05-12,39
2020-05-13,48
2020-05-14,58
2020-05-15,42
2020-05-16,29
2020-05-17,39
2020-05-18,47
2020-05-19,33
2020-05-20,39
2020-05-21,55
2020-05-22,32
2020-05-23,27
2020-05-24,34
2020-05-25,36
2020-05-26,37
2020-05-27,26
2020-05-28,51
2020-05-29,37
2020-05-30,33
2020-05-31,23
2020-06-01,35
2020-06-02,20
2020-06-03,24
2020-06-04,44
2020-06-05,31
2020-06-06,26
2020-06-07,23
2020-06-08,33
2020-06-09,28
2020-06-10,65
2020-06-11,44
2020-06-12,32
2020-06-13,16
2020-06-14,53
2020-06-15,45
2020-06-16,53
2020-06-17,55
2020-06-18,54
2020-06-19,19
2020-06-20,47
2020-06-21,48
2020-06-22,56
2020-06-23,50
2020-06-24,59
2020-06-25,50
2020-06-26,47
2020-06-27,42
2020-06-28,41
2020-06-29,69
2020-06-30,42
2020-07-01,61
2020-07-02,61
2020-07-03,50
2020-07-04,23
2020-07-05,40
2020-07-06,32
2020-07-07,61
2020-07-08,61
2020-07-09,70
2020-07-10,34
2020-07-11,47
2020-07-12,54
2020-07-13,61
2020-07-14,51
2020-07-15,47
2020-07-16,57
2020-07-17,39
2020-07-18,55
2020-07-19,50
2020-07-20,62
2020-07-21,43
2020-07-22,66
2020-07-23,100
2020-07-24,44
2020-07-25,66
2020-07-26,33
2020-07-27,29
2020-07-28,72
2020-07-29,72
2020-07-30,61
2020-07-31,34
2020-08-01,59
2020-08-02,54
2020-08-03,38
2020-08-04,47
2020-08-05,57
2020-08-06,38
2020-08-07,63
2020-08-08,48
2020-08-09,27
2020-08-10,42
2020-08-11,37
2020-08-12,33
2020-08-13,65
2020-08-14,53
2020-08-15,11
2020-08-16,27
2020-08-17,19
2020-08-18,46
2020-08-19,37
2020-08-20,60
2020-08-21,42
2020-08-22,49
2020-08-23,48
2020-08-24,49
2020-08-25,18
2020-08-26,53
2020-08-27,31
2020-08-28,41
2020-08-29,52
2020-08-30,43
2020-08-31,39
2020-09-01,44
2020-09-02,35
2020-09-03,43
2020-09-04,36
2020-09-05,32
2020-09-06,54
2020-09-07,35
2020-09-08,42
2020-09-09,13
2020-09-10,38
2020-09-11,4
2020-09-12,21
2020-09-13,26
2020-09-14,30
2020-09-15,26
2020-09-16,26
2020-09-17,30
2020-09-18,22
2020-09-19,11
2020-09-20,10
2020-09-21,43
2020-09-22,21
2020-09-23,9
2020-09-24,43
2020-09-25,20
2020-09-26,34
2020-09-27,22
2020-09-28,38
2020-09-29,51
2020-09-30,23
2020-10-01,28
2020-10-02,38
2020-10-03,39
2020-10-04,11
2020-10-05,14
2020-10-06,33
2020-10-07,33
2020-10-08,33
2020-10-09,43
2020-10-10,18
2020-10-11,12
2020-10-12,26
2020-10-13,21
2020-10-14,21
2020-10-15,32
2020-10-16,27
2020-10-17,24
2020-10-18,30
2020-10-19,27
2020-10-20,16
2020-10-21,27
2020-10-22,48
2020-10-23,16
2020-10-24,36
2020-10-25,24
2020-10-26,32
2020-10-27,21
2020-10-28,43
2020-10-29,58
2020-10-30,6
2020-10-31,43
2020-11-01,12
2020-11-02,37
2020-11-03,41
2020-11-04,10
2020-11-05,23
2020-11-06,9
2020-11-07,41
2020-11-08,28
2020-11-09,41
2020-11-10,15
2020-11-11,26
2020-11-12,50
2020-11-13,62
2020-11-14,18
2020-11-15,11
2020-11-16,47
2020-11-17,46
2020-11-18,42
2020-11-19,41
2020-11-20,43
2020-11-21,24
2020-11-22,29
2020-11-23,37
2020-11-24,27
2020-11-25,60
2020-11-26,17
2020-11-27,28
2020-11-28,11
2020-11-29,22
2020-11-30,20
2020-12-01,30
2020-12-02,26
2020-12-03,36
2020-12-04,37
2020-12-05,46
2020-12-06,34
2020-12-07,31
2020-12-08,10
2020-12-09,31
2020-12-10,26
2020-12-11,31
2020-12-12,0
2020-12-13,23
2020-12-14,41
2020-12-15,10
2020-12-16,26
2020-12-17,16
2020-12-18,33
2020-12-19,35
2020-12-20,23
2020-12-21,32
2020-12-22,33
2020-12-23,34
2020-12-24,23
2020-12-25,13
2020-12-26,19
2020-12-27,29
2020-12-28,32
2020-12-29,27
2020-12-30,32
2020-12-31,27
2021-01-01,17
2021-01-02,28
2021-01-03,17
2021-01-04,25
2021-01-05,46
2021-01-06,19
2021-01-07,55
2021-01-08,30
2021-01-09,38
2021-01-10,49
2021-01-11,61
2021-01-12,23
2021-01-13,34
2021-01-14,67
2021-01-15,79
2021-01-16,31
2021-01-17,36
2021-01-18,41
2021-01-19,39
2021-01-20,33
2021-01-21,78
2021-01-22,56
2021-01-23,49
2021-01-24,49
2021-01-25,28
2021-01-26,39
2021-01-27,50
2021-01-28,45
2021-01-29,57
2021-01-30,51
2021-01-31,44
2021-02-01,33
2021-02-02,100
2021-02-03,51
2021-02-04,34
2021-02-05,70
2021-02-06,31
2021-02-07,37
2021-02-08,28
2021-02-09,57
2021-02-10,11
2021-02-11,80
2021-02-12,40
2021-02-13,25
2021-02-14,31
2021-02-15,53
2021-02-16,29
2021-02-17,23
2021-02-18,46
2021-02-19,41
2021-02-20,52
2021-02-21,52
2021-02-22,22
2021-02-23,35
2021-02-24,40
2021-02-25,57
2021-02-26,52
2021-02-27,13
2021-02-28,25
2021-03-01,34
2021-03-02,29
2021-03-03,40
2021-03-04,46
2021-03-05,47
2021-03-06,39
2021-03-07,19
2021-03-08,35
2021-03-09,29
2021-03-10,45
2021-03-11,35
2021-03-12,6
2021-03-13,25
2021-03-14,54
2021-03-15,33
2021-03-16,29
2021-03-17,44
2021-03-18,39
2021-03-19,17
2021-03-20,38
2021-03-21,38
2021-03-22,11
2021-03-23,28
2021-03-24,55
2021-03-25,34
2021-03-26,41
2021-03-27,39
2021-03-28,19
2021-03-29,23
2021-03-30,29
2021-03-31,45
2021-04-01,34
2021-04-02,30
2021-04-03,40
2021-04-04,34
2021-04-05,36
2021-04-06,28
2021-04-07,56
2021-04-08,17
2021-04-09,11
2021-04-10,19
2021-04-11,38
2021-04-12,34
2021-04-13,23
2021-04-14,28
2021-04-15,28
2021-04-16,35
2021-04-17,39
2021-04-18,33
2021-04-19,40
2021-04-20,51
2021-04-21,29
2021-04-22,41
2021-04-23,12
2021-04-24,20
2021-04-25,33
2021-04-26,35
2021-04-27,23
2021-04-28,29
2021-04-29,45
2021-04-30,23
2021-05-01,19
2021-05-02,33
2021-05-03,23
2021-05-04,62
2021-05-05,28
2021-05-06,34
2021-05-07,36
2021-05-08,26
2021-05-09,7
2021-05-10,47
2021-05-11,17
2021-05-12,63
2021-05-13,35
2021-05-14,36
2021-05-15,13
2021-05-16,33
2021-05-17,40
2021-05-18,23
2021-05-19,28
2021-05-20,30
2021-05-21,35
2021-05-22,14
2021-05-23,26
2021-05-24,17
2021-05-25,12
2021-05-26,17
2021-05-27,23
2021-05-28,18
2021-05-29,33
2021-05-30,7
2021-05-31,6
2021-06-01,30
2021-06-02,22
2021-06-03,63
2021-06-04,12
2021-06-05,33
2021-06-06,7
2021-06-07,17
2021-06-08,17
2021-06-09,23
2021-06-10,63
2021-06-11,91
2021-06-12,57
2021-06-13,27
2021-06-14,25
2021-06-15,38
2021-06-16,50
2021-06-17,64
2021-06-18,39
2021-06-19,57
2021-06-20,58
2021-06-21,38
2021-06-22,90
2021-06-23,51
2021-06-24,77
2021-06-25,52
2021-06-26,29
2021-06-27,15
2021-06-28,77
2021-06-29,26
2021-06-30,38
2021-07-01,61
2021-07-02,39
2021-07-03,43
2021-07-04,15
2021-07-05,43
2021-07-06,76
2021-07-07,87
2021-07-08,89
2021-07-09,52
2021-07-10,58
2021-07-11,42
2021-07-12,75
2021-07-13,64
2021-07-14,25
2021-07-15,38
2021-07-16,38
2021-07-17,0
2021-07-18,29
2021-07-19,63
2021-07-20,26
2021-07-21,62
2021-07-22,26
2021-07-23,66
2021-07-24,0
2021-07-25,73
2021-07-26,51
2021-07-27,0
2021-07-28,100
2021-07-29,25
2021-07-30,13
2021-07-31,28
2021-08-01,14
2021-08-02,63
2021-08-03,64
2021-08-04,51
2021-08-05,52
2021-08-06,66
2021-08-07,43
2021-08-08,0
2021-08-09,50
2021-08-10,26
2021-08-11,13
2021-08-12,13
2021-08-13,26
2021-08-14,14
2021-08-15,87
2021-08-16,78
2021-08-17,51
2021-08-18,88
2021-08-19,26
2021-08-20,63
2021-08-21,42
2021-08-22,43
2021-08-23,13
2021-08-24,69
2021-08-25,63
2021-08-26,66
2021-08-27,66
2021-08-28,14
2021-08-29,14
2021-08-30,62
2021-08-31,90
2021-09-01,38
2021-09-02,26
2021-09-03,83
2021-09-04,15
2021-09-05,31
2021-09-06,44
2021-09-07,54
2021-09-08,13
2021-09-09,40
2021-09-10,55
2021-09-11,30
2021-09-12,44
2021-09-13,40
2021-09-14,39
2021-09-15,0
2021-09-16,27
2021-09-17,13
2021-09-18,45
2021-09-19,29
2021-09-20,52
2021-09-21,13
2021-09-22,26
2021-09-23,0
2021-09-24,0
2021-09-25,31
2021-09-26,0
2021-09-27,13
2021-09-28,39
2021-09-29,91
2021-09-30,13
2021-10-01,0
2021-10-02,59
2021-10-03,0
2021-10-04,75
2021-10-05,53
2021-10-06,26
2021-10-07,40
