Date,vix close,vix return,mean,sma 10,sma 15,sma 20,sma 50,sma 100,sma 150,sma 200,sma 250,a15,a50,a100,a150,a200,b15,b50,b100,b150,b200,vix_pos_return,vix_neg_return,c_1_15,c_1_50,c_1_100,c_1_150,c_1_200,c_pos_returns,c_neg_returns,c_3_15,c_3_50,c_3_100,c_3_150,c_3_200,c_3_pos_returns,c_3_neg_returns,>b_upper,<b_lower
2007-07-02,15.399999618530273,,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-03,14.920000076293945,-0.031168802215992386,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-07-05,15.479999542236328,0.03753347607766799,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-06,14.720000267028809,-0.04909556186574182,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-07-09,15.15999984741211,0.02989127529901281,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-10,17.56999969482422,0.15897096778820274,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2007-07-11,16.639999389648438,-0.0529311509009156,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-07-12,15.539999961853027,-0.06610573726821811,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2007-07-13,15.149999618530273,-0.025096547250972434,20.203986065899098,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2007-07-16,15.59000015258789,0.029042940273044104,20.203986065899098,15.61699981689453,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-17,15.630000114440918,0.0025657448018938656,20.203986065899098,15.639999866485596,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2007-07-18,16.0,0.023672417328854056,20.203986065899098,15.7479998588562,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
2007-07-19,15.229999542236328,-0.04812502861022949,20.203986065899098,15.722999858856202,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-07-20,16.950000762939453,0.11293508026268562,20.203986065899098,15.945999908447266,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-23,16.809999465942383,-0.008259663167872966,20.203986065899098,16.110999870300294,15.785999870300293,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007-07-24,18.549999237060547,0.10350980525867715,20.203986065899098,16.208999824523925,15.995999844868978,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-07-25,18.100000381469727,-0.024258699412330942,20.203986065899098,16.354999923706053,16.20799986521403,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2007-07-26,20.739999771118164,0.14585631679605893,20.203986065899098,16.874999904632567,16.558666547139484,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2007-07-27,24.170000076293945,0.1653809230004084,20.203986065899098,17.776999950408936,17.188666534423827,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2007-07-30,20.8700008392334,-0.1365328600183664,20.203986065899098,18.305000019073486,17.569333267211913,16.960999917984008,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2007-07-31,23.520000457763672,0.1269764979380621,20.203986065899098,19.09400005340576,17.96599998474121,17.36699995994568,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2007-08-01,23.670000076293945,0.00637753467733293,20.203986065899098,19.861000061035156,18.434666697184245,17.80449995994568,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
